,cycle_time
1135,11
1136,12
1137,12
1138,12
1139,12
1140,12
1141,11
1142,13
1143,13
1144,12
1145,12
1146,11
1147,12
1148,13
1149,13
1150,13
1151,14
1152,11
1153,12
1154,11
1155,12
1156,11
1157,12
1158,11
1159,11
1160,11
1161,11
1162,12
1163,10
1164,10
1165,11
1166,11
1167,11
1168,12
1169,10
1170,11
